stat3	U	hypotrichosis
hpse	P	paraproteinemias
il4	U	iron metabolism disorders
delavirdine	CC	fentanyl
uveitis	ML	lyz
serpine1	P	drug toxicity
cyp27b1	Rg	aldh1a3
foxo1	GG	hnf4a
colchicine	T	anemia
cyp2a13	GG	cyp2e1
crp	Te	hamartoma syndrome multiple
pmp22	Rg	perp
il11ra	Ra	mylk
pentamidine	I	cyp2c8
paep	Ra	plk2
pin1	GG	wee1
ca1	P	panuveitis
neomycin	T	pain
casp8	Ra	brca2
slc9a6	GG	slc7a4
mag	B	gfap
vinorelbine	T	esophagitis
central nervous system neoplasms	ML	hip1
gastrointestinal neoplasms	ML	gstt1
pmm2	GG	mpdu1
slco4c1	Ra	slc22a5
tpm3	GG	ncoa4
intestinal neoplasms	ML	cflar
immunologic deficiency syndromes	Iw	lupus erythematosus systemic
ldha	Ra	fos
nfkb1	B	ikbkg
methyltestosterone	I	cyp3a4
cyp2c8	Ra	ercc1
adcyap1	GG	bmp5
clenbuterol	Sa	infarction
nme1	U	neoplasm metastasis
cdkn1c	Q	prg4
hif1a	E	aqp9
junb	Rg	mapk8
mdm2	E	xrcc5
neoplasms squamous cell	ML	tf
tsc2	Ra	dapk1
cisplatin	Sa	tachycardia
snta1	GG	map3k7
xylt1	P	hemostatic disorders
methocarbamol	T	pain
hmox1	Ra	il1b
ngf	Q	cd40
arg1	GG	pycr1
aminosalicylic acid	CC	salicylate sodium
prkca	Ra	rara
icam1	Q	muc1
adamts13	P	cerebrovascular disorders
gstm1	P	diabetes mellitus
smith mccort dysplasia	ML	ptgs2
pcna	E	insr
cdkn2a	Rg	il6
craniofacial abnormalities	An	craniofacial abnormalities
ar	U	ectodermal dysplasia
orlistat	T	body weight changes
adipoq	P	hepatitis chronic
goserelin	T	neoplasm metastasis
csf2	P	leukemia myeloid
carbamazepine	T	sensation disorders
mak	GG	retinitis pigmentosa 1
hmox1	P	renal insufficiency
arthritis rheumatoid	ML	rbpj
b2m	B	hla b
metolazone	CC	hydrocodone
abca3	GG	abcd1
pou5f1	GG	brd3
cinnarizine	Sa	lupus erythematosus cutaneous
csk	Ra	mapk8
lpl	Rg	sort1
lymphoma	ML	hmox1
cocaine	E	dagla
formoterol	E	pde4d
dpm2	Rg	dpm1
thrb	Ra	lpl
neoplasms	ML	ikzf1
mid1	GG	ppp2ca
g6pd	Rg	pck2
pramipexole	CC	dantrolene
respiratory tract neoplasms	ML	vdr
fcgr3a	Q	ccr2
rfk	GG	psmb6
ctnnb1	GG	rps6ka5
gfi1	P	lupus erythematosus systemic
ccr1	P	infections
hao1	GG	dhtkd1
cd38	Q	lepr
uterine diseases	ML	cd8a
bendroflumethiazide	CC	tapentadol
rpl5	Ra	rps19
promazine	CC	nebivolol
esophageal neoplasms	ML	spp1
testosterone	T	hiv infections
tnfrsf1b	Rg	htr2a
hnf4a	Rg	nr1h4
tnfrsf1a	E	ccl3
slco1b1	B	itgb3
phenytoin	Sa	dermatitis exfoliative
sp1	Rg	ifngr1
fdxr	GG	acadsb
chrm3	GG	arf1
desmopressin	CC	flurbiprofen
ctgf	E	cd44
sema4a	P	inflammation
biotin	CC	azlocillin
ush1c	Q	ush1c
ctnnb1	E	edn1
flecainide	CC	sodium bicarbonate
braf	Ra	stk11
hmgb1	P	intestinal neoplasms
oxcarbazepine	T	tuberous sclerosis
danazol	T	neoplasm metastasis
vdr	Rg	akt1
rho	Rg	rock1
cox7c	GG	ndufs7
mapk3	Rg	rhoa
bmp4	Ra	ephb3
il3	E	jun
nfkbia	Rg	nfkbia
metformin	E	eng
kcnq1	I	repaglinide
tipranavir	CC	doxorubicin
xiap	D	inflammation
kng1	P	nausea
rac1	Rg	cd2ap
butabarbital	CC	trimipramine
hdac6	GG	med1
breast neoplasms	ML	capg
ednrb	Rg	bax
gabrb1	GG	gabrp
ptges3	GG	metap1
bdkrb2	U	obsessive compulsive disorder
adamts5	GG	mmp19
lep	P	liver cirrhosis biliary
il23a	P	pneumonia
amrinone	T	intracranial hemorrhages
hif1a	E	nox4
mbtps1	P	cerebral small vessel diseases
liver neoplasms	ML	sp1
ttr	E	clu
vdr	Rg	cubn
s100a2	Ra	nrip1
syk	Q	cd74
fcgr1a	Q	cd14
melanoma	ML	keap1
ddit3	P	kidney diseases
cxcl10	Rg	cxcr4
cflar	B	wwp1
vitamin a	T	hyperthyroidism
a2m	GG	loxl1
brca1	Ra	sirt1
pyridostigmine	Sa	parkinsonian disorders
rifampicin	CC	fosphenytoin
pain	Mp	duloxetine
dactinomycin	Iw	fh
ahr	Ra	hsd17b1
pgk1	GG	mapk3
abcb7	Q	picalm
map2k7	GG	map3k14
rps6ka2	Rg	rps6ka3
cyp11a1	GG	nr1h4
cd4	P	respiratory hypersensitivity
neoplasms basal cell	ML	smo
txnrd1	Ra	cat
tacrolimus	T	carcinoma
il21	U	lupus erythematosus systemic
streptomycin	CC	pancuronium
atropine	Sa	myocardial ischemia
stat5b	P	neoplasms
dhcr24	GG	glrx2
uterine diseases	ML	fgfr2
mapk8	B	grb2
dcn	GG	vim
isoxsuprine	T	tachycardia
sgcg	Rg	dag1
hla dra	GG	cd247
neoplasm metastasis	ML	vim
methamphetamine	J	virus diseases
cga	Rg	ppy
norepinephrine	E	bdnf
bortezomib	T	hemophilia a
ptprj	Q	cd4
scp2	GG	fads2
scp2	Q	ilk
pparg	Te	renal insufficiency
zidovudine	T	hepatitis b
ccne1	Ra	cdkn1b
alb	P	coronary disease
grm1	B	fmr1
sp1	Rg	tlr2
pentobarbital	CC	verapamil
aminophylline	J	anemia
eya4	GG	cldn14
prednisone	T	mood disorder
ccdc40	GG	stim1
telithromycin	CC	ixabepilone
il10	P	aspergillosis
gpt	Rg	sord
gast	K	propantheline
citalopram	CC	tamoxifen
rdh5	Ra	rdh5
mmp3	Rg	cd3d
virus diseases	ML	siglec1
pld1	Ra	src
capns1	Q	ppargc1a
lupus erythematosus systemic	ML	oasl
ttr	P	liver neoplasms
bche	P	overweight
ctsd	I	neuronal ceroid lipofuscinoses
itgal	Q	icam1
dyspepsia	ML	sstr3
cd80	Rg	tnfrsf8
fgfr2	Rg	bmp4
ush2a	Q	myo7a
plaur	Rg	sorl1
ahr	GG	nrip1
tp53	Rg	krt17
stambp	GG	bmpr1b
arg2	Rg	isyna1
vitamin e	T	acquired immunodeficiency syndrome
nck1	GG	slc24a1
cdkn1a	P	breast neoplasms
cyp2e1	Ra	cyp4a11
gad1	U	aarskog scott syndrome
minocycline	T	stomatitis
metformin	T	brain edema
il4	E	cnr1
mgll	Q	apoe
gabra5	GG	gabrb1
irf6	E	ccl5
ctsa	E	mme
glud2	GG	ca8
cd4	P	autoimmune diseases
dopamine	T	leukemia
decr1	GG	pttg1
fancc	B	stat1
octreotide	T	pancreatitis
smad3	E	spp1
cdkn1a	Ra	gusb
ccr2	Q	apoe
propylthiouracil	T	leukopenia
igf1r	Rg	kitlg
loxapine	CC	pethidine
hmgb1	GG	rpl11
fgf8	E	six1
nfkb1	Iw	hccs
clu	GG	serpinc1
adrb2	Ra	lipc
map2	Rg	ntrk1
digoxin	CC	posaconazole
imatinib	N	casp3
il17a	P	mucositis
desipramine	Iw	ar
il10	Q	il3ra
egln1	E	egln3
